Author,final_sentiment
@IamPotatolover,SAMSUNG
@Icexpress,unknown
@Idkekfejyoulove,unknown
@Idontknow_00December28,unknown
@IhaveWONYOUNG,SAMSUNG
@IiiiiiIiiIIIII9,SAMSUNG
@IiiiiiiiiIiiiiiiiii11111,SAMSUNG
@Iions-30,SAMSUNG
@IlIlIlIlIllIIIl,KIA
@IllIllIIll,KIA
@IllIllIllIlllIll,KIA
@Illllillllillil,KIA
@Ilove-sean,KIA
@Im.flower_rain,KIA
@Im_JaeSung,SAMSUNG
@Im_otakudesune,SAMSUNG
@Imhotteok-f9y,KIA
@Ioniq-x9x,unknown
@Ivefan937,SAMSUNG
@Iwantyou1st,SAMSUNG
@Iwilevereske,unknown
@J-ed5tb,SAMSUNG
@J-maru,KIA
@J.Gruv.Republic,SAMSUNG
@J.J-y6q,KIA
@J.S.PARK7,SAMSUNG
@J1497d,unknown
@JB-qv5yp,unknown
@JC-hb3qy,KIA
@JEJELOVEGOOD,KIA
@JG-to3qz,SAMSUNG
@JH-em9hr,SAMSUNG
@JH-hj5zw,KIA
@JH-sj9mn,SAMSUNG
@JH-wy8gx,SAMSUNG
@JHB-ng9rw,SAMSUNG
@JHI_1217,KIA
@JHKim-qp8xy,KIA
@JHLee-uk9fh,KIA
@JHPark-v8h,SAMSUNG
@JH_0820,SAMSUNG
@JIN-bi7vj,unknown
@JJ-cy1np,KIA
@JJ-qx5xq,KIA
@JJ0705,KIA
@JJBPark,SAMSUNG
@JJJJJJJJJEEEE,SAMSUNG
@JJK-rk7tr,KIA
@JJong709,unknown
@JK-mr6xp,KIA
@JK-op8wu,SAMSUNG
@JL-uo5uv,KIA
@JL_24정호,KIA
@JM-ss7nk,SAMSUNG
@JR_Redblitz,SAMSUNG
@JSMHYJSH,KIA
@JSSL-r2m,SAMSUNG
@JUEL706,KIA
@JUNGU,KIA
@JaGam-ee3zb,KIA
@Jacaranda.,KIA
@JackRuby-p3z,unknown
@Jack_green999,SAMSUNG
@JaeHyunPark,unknown
@Jaehee23,KIA
@JakeJ-y7k,SAMSUNG
@Jakeu56,SAMSUNG
@JamesKang4366,KIA
@Jamesn-k9k,SAMSUNG
@JamieYu-rv7bx,KIA
@JangHyuk2004,unknown
@Jason-sf7kv,KIA
@Jaws-Bar,KIA
@Jazzinee,unknown
@Jeight8,unknown
@Jeju_9reum,KIA
@Jelloji-q4r,KIA
@Jennie2019,SAMSUNG
@JenoDreamies,SAMSUNG
@Jenoyed23,SAMSUNG
@Jesus-Love2-1,SAMSUNG
@Jhlee-z3v,KIA
@JiSuYun,SAMSUNG
@Jihydjkko,unknown
@Jiinside93,SAMSUNG
@Jimmy-p1x1t,KIA
@Jimmylee_929,unknown
@Jin-s9h,unknown
@JinAru16,SAMSUNG
@JinQ-c8d,SAMSUNG
@Jin_Hyoung,unknown
@Jindol_ing,SAMSUNG
@Jini5119,unknown
@JinmyGenie,SAMSUNG
@Jiny9506,KIA
@Jiwoo_daily,SAMSUNG
@Jiyu-tu6wq,KIA
@Jiyun0099,SAMSUNG
@Jjh1024,KIA
@JjungChoi-r9s,SAMSUNG
@Jjwgf-n6o,unknown
@JjyeChoi,KIA
@Jkylove,SAMSUNG
@Jodoong2,KIA
@JoeSharp-k2i,SAMSUNG
@John-uo3hq,unknown
@John-xv3yc,unknown
@Joker-fu5zj,KIA
@Joker-n8x7r,SAMSUNG
@JooDoa-r8b,SAMSUNG
@JooHyun890,KIA
@JsJ-jp5sh,SAMSUNG
@JsaooD,KIA
@Jsgsg-k7q5y,SAMSUNG
@Jshtrqy,KIA
@Jsusses,SAMSUNG
@Juanitokim1,KIA
@JudeBellingham0629,KIA
@Jukoispig,unknown
@Juliana-p9m3k,SAMSUNG
@Juliana-re6hp,unknown
@Julie-df4js,SAMSUNG
@Julie-e9i,KIA
@JunY-vu3hz,KIA
@JunZero96,SAMSUNG
@Jungonesun,KIA
@Jusin-o6m,unknown
@Just-t7v,KIA
@JustUser9209,unknown
@Justin_Poooooooh,SAMSUNG
@Juwon-mx5cm,KIA
@JwS-ts5ji,KIA
@Jyeong999,SAMSUNG
